Name	Raw_1	Raw_2	Derep_1	Derep_2	Bmtagger_1	Bmtagger_2	Trimmo_1	Trimmo_2	Trimmo_solo_1	Trimmo_solo_2
SRR2194056	6341906.0	6341906.0	6331926.0	6331926.0	6329404.0	6329404.0	4716779.0	4716779.0	495551.0	234142.0
SRR2194980	5729052.0	5729052.0	5719233.0	5719233.0	5718290.0	5718290.0	4345744.0	4345744.0	453688.0	193409.0
SRR2194076	7005062.0	7005062.0	6992742.0	6992742.0	6991429.0	6991429.0	5283028.0	5283028.0	572741.0	232531.0
SRR2199667	5728840.0	5728840.0	5720764.0	5720764.0	5719799.0	5719799.0	4270472.0	4270472.0	467274.0	199049.0
SRR2194874	5875556.0	5875556.0	5865768.0	5865768.0	5864918.0	5864918.0	4481850.0	4481850.0	476125.0	196931.0
SRR2227830	6428689.0	6428689.0	6420518.0	6420518.0	6417521.0	6417521.0	5148303.0	5148303.0	337535.0	206385.0
SRR2227862	6437017.0	6437017.0	6426996.0	6426996.0	6423879.0	6423879.0	5172017.0	5172017.0	323494.0	205312.0
SRR2227867	6512537.0	6512537.0	6501089.0	6501089.0	6498068.0	6498068.0	5134340.0	5134340.0	366635.0	218136.0
SRR2227900	6339420.0	6339420.0	6328353.0	6328353.0	6325396.0	6325396.0	5094505.0	5094505.0	325369.0	198402.0
SRR2237793	4598283.0	4598283.0	4591964.0	4591964.0	4591064.0	4591064.0	3874586.0	3874586.0	217872.0	132107.0
SRR2237498	4733480.0	4733480.0	4725798.0	4725798.0	4724910.0	4724910.0	3915941.0	3915941.0	251228.0	143790.0
SRR2237653	4543536.0	4543536.0	4536449.0	4536449.0	4535541.0	4535541.0	3831035.0	3831035.0	219147.0	127420.0
SRR2236773	4618295.0	4618295.0	4612918.0	4612918.0	4612040.0	4612040.0	3879897.0	3879897.0	225993.0	133103.0
SRR2243803	4488497.0	4488497.0	4484299.0	4484299.0	4483150.0	4483150.0	3703631.0	3703631.0	240329.0	133332.0
SRR2244468	4479928.0	4479928.0	4474948.0	4474948.0	4473815.0	4473815.0	3712342.0	3712342.0	230854.0	133323.0
